Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SRCE,1st Source Corporation,29.13,695420519.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
SRCL,"Stericycle, Inc.",117.12,9932979642,n/a,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
SRDX,"SurModics, Inc.",20.96,284987754.2,n/a,1998,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/srdx
SREV,"ServiceSource International, Inc.",3.36,279614808.5,n/a,2011,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/srev
SRNE,"Sorrento Therapeutics, Inc.",3.72,106142202,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/srne
SRPT,"Sarepta Therapeutics, Inc.",22.3,912599535.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/srpt
SRSC,Sears Canada Inc. ,9.5,967837789,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srsc
SRSCV,Sears Canada Inc. ,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srscv
SSB,South State Corporation,57.66,1391555658,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb
SSBI,Summit State Bank,12.62,60303029.4,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/ssbi
SSFN,Stewardship Financial Corp,4.0901,24649666.61,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn
SSH,Sunshine Heart Inc,5.31,89728958.79,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ssh
SSNC,"SS&C Technologies Holdings, Inc.",41.91,3499644761,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc
SSRI,Silver Standard Resources Inc.,5.84,471605894.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssri
SSYS,"Stratasys, Ltd.",117.5,5808730000,n/a,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
STAA,STAAR Surgical Company,11.25,434174962.5,n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
